age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,y,PC1,PC2
55,technician,married,university.degree,no,no,telephone,may,mon,349,1,0,nonexistent,0,-1.350889832,0.681002948
33,services,married,high.school,yes,no,telephone,may,mon,337,2,0,nonexistent,0,-1.350889832,0.681002948
55,management,married,university.degree,yes,no,telephone,may,mon,272,1,0,nonexistent,0,-1.350889832,0.681002948
42,blue-collar,married,basic.9y,no,no,telephone,may,mon,208,1,0,nonexistent,0,-1.350889832,0.681002948
50,blue-collar,married,basic.4y,yes,no,telephone,may,mon,193,1,0,nonexistent,0,-1.350889832,0.681002948
38,admin.,married,high.school,no,no,telephone,may,mon,165,2,0,nonexistent,0,-1.350889832,0.681002948
38,technician,single,university.degree,no,yes,telephone,may,mon,20,1,0,nonexistent,0,-1.350889832,0.681002948
31,admin.,divorced,high.school,no,no,telephone,may,mon,246,1,0,nonexistent,0,-1.350889832,0.681002948
41,management,married,basic.6y,no,no,telephone,may,mon,529,2,0,nonexistent,0,-1.350889832,0.681002948
39,admin.,married,university.degree,yes,yes,telephone,may,mon,192,1,0,nonexistent,0,-1.350889832,0.681002948
34,admin.,married,high.school,yes,no,telephone,may,mon,188,2,0,nonexistent,0,-1.350889832,0.681002948
35,admin.,married,university.degree,yes,no,telephone,may,mon,180,2,0,nonexistent,0,-1.350889832,0.681002948
60,admin.,married,university.degree,no,yes,telephone,may,mon,213,2,0,nonexistent,0,-1.350889832,0.681002948
33,unemployed,married,basic.9y,no,no,telephone,may,mon,545,1,0,nonexistent,0,-1.350889832,0.681002948
42,blue-collar,married,basic.6y,no,yes,telephone,may,mon,583,1,0,nonexistent,0,-1.350889832,0.681002948
45,services,married,professional.course,yes,no,telephone,may,mon,221,1,0,nonexistent,0,-1.350889832,0.681002948
42,management,married,university.degree,no,no,telephone,may,mon,426,1,0,nonexistent,0,-1.350889832,0.681002948
53,admin.,divorced,university.degree,no,no,telephone,may,mon,287,1,0,nonexistent,0,-1.350889832,0.681002948
37,technician,single,professional.course,no,no,telephone,may,mon,197,1,0,nonexistent,0,-1.350889832,0.681002948
44,blue-collar,married,basic.6y,no,no,telephone,may,mon,257,1,0,nonexistent,0,-1.350889832,0.681002948
54,services,married,high.school,yes,no,telephone,may,mon,229,1,0,nonexistent,0,-1.350889832,0.681002948
49,blue-collar,married,basic.4y,no,no,telephone,may,mon,55,3,0,nonexistent,0,-1.350889832,0.681002948
54,services,married,high.school,no,no,telephone,may,mon,400,1,0,nonexistent,0,-1.350889832,0.681002948
52,admin.,divorced,university.degree,no,no,telephone,may,mon,197,1,0,nonexistent,0,-1.350889832,0.681002948
52,admin.,divorced,university.degree,no,no,telephone,may,mon,190,1,0,nonexistent,0,-1.350889832,0.681002948
43,services,single,high.school,no,no,telephone,may,mon,21,1,0,nonexistent,0,-1.350889832,0.681002948
34,housemaid,married,basic.6y,yes,no,telephone,may,mon,300,2,0,nonexistent,0,-1.350889832,0.681002948
35,admin.,married,high.school,yes,no,telephone,may,mon,123,2,0,nonexistent,0,-1.350889832,0.681002948
42,entrepreneur,married,university.degree,yes,no,telephone,may,mon,293,1,0,nonexistent,0,-1.350889832,0.681002948
43,technician,married,professional.course,yes,yes,telephone,may,mon,325,1,0,nonexistent,0,-1.350889832,0.681002948
60,retired,divorced,university.degree,no,no,telephone,may,mon,514,1,0,nonexistent,0,-1.350889832,0.681002948
35,services,divorced,high.school,yes,no,telephone,may,mon,194,1,0,nonexistent,0,-1.350889832,0.681002948
55,blue-collar,married,basic.9y,yes,no,telephone,may,mon,212,2,0,nonexistent,0,-1.350889832,0.681002948
37,management,married,university.degree,no,no,telephone,may,mon,337,2,0,nonexistent,0,-1.350889832,0.681002948
36,blue-collar,married,high.school,no,no,telephone,may,mon,286,1,0,nonexistent,0,-1.350889832,0.681002948
52,admin.,divorced,university.degree,no,no,telephone,may,mon,247,2,0,nonexistent,0,-1.350889832,0.681002948
57,blue-collar,divorced,basic.9y,yes,no,telephone,may,mon,518,1,0,nonexistent,0,-1.350889832,0.681002948
56,admin.,married,university.degree,yes,no,telephone,may,mon,364,1,0,nonexistent,0,-1.350889832,0.681002948
48,blue-collar,divorced,basic.4y,yes,no,telephone,may,mon,178,1,0,nonexistent,0,-1.350889832,0.681002948
40,blue-collar,married,high.school,yes,no,telephone,may,mon,98,1,0,nonexistent,0,-1.350889832,0.681002948
49,blue-collar,divorced,high.school,no,no,telephone,may,mon,439,1,0,nonexistent,0,-1.350889832,0.681002948
41,services,married,high.school,no,no,telephone,may,mon,139,1,0,nonexistent,0,-1.350889832,0.681002948
45,technician,married,high.school,yes,no,telephone,may,mon,79,1,0,nonexistent,0,-1.350889832,0.681002948
32,admin.,married,university.degree,yes,yes,telephone,may,mon,175,1,0,nonexistent,0,-1.350889832,0.681002948
42,admin.,married,university.degree,no,yes,telephone,may,mon,262,2,0,nonexistent,0,-1.350889832,0.681002948
50,admin.,married,basic.6y,no,no,telephone,may,mon,61,1,0,nonexistent,0,-1.350889832,0.681002948
31,technician,divorced,professional.course,yes,yes,telephone,may,mon,78,1,0,nonexistent,0,-1.350889832,0.681002948
56,retired,married,basic.4y,yes,no,telephone,may,mon,102,2,0,nonexistent,0,-1.350889832,0.681002948
41,technician,married,professional.course,yes,no,telephone,may,mon,579,1,0,nonexistent,1,-1.350889832,0.681002948
37,blue-collar,married,basic.6y,yes,yes,telephone,may,mon,143,1,0,nonexistent,0,-1.350889832,0.681002948
41,technician,married,professional.course,no,no,telephone,may,mon,677,1,0,nonexistent,0,-1.350889832,0.681002948
35,blue-collar,married,basic.9y,yes,no,telephone,may,mon,267,1,0,nonexistent,0,-1.350889832,0.681002948
37,blue-collar,married,basic.6y,yes,no,telephone,may,mon,345,1,0,nonexistent,0,-1.350889832,0.681002948
52,management,married,university.degree,no,no,telephone,may,mon,185,1,0,nonexistent,0,-1.350889832,0.681002948
39,management,divorced,university.degree,no,no,telephone,may,mon,207,1,0,nonexistent,0,-1.350889832,0.681002948
39,housemaid,married,basic.4y,no,no,telephone,may,mon,69,2,0,nonexistent,0,-1.350889832,0.681002948
56,blue-collar,married,basic.4y,no,no,telephone,may,mon,100,2,0,nonexistent,0,-1.350889832,0.681002948
34,services,married,high.school,yes,no,telephone,may,mon,125,2,0,nonexistent,0,-1.350889832,0.681002948
45,blue-collar,married,basic.9y,yes,no,telephone,may,mon,461,1,0,nonexistent,1,-1.350889832,0.681002948
43,unemployed,single,university.degree,yes,no,telephone,may,mon,240,1,0,nonexistent,0,-1.350889832,0.681002948
56,management,married,university.degree,yes,no,telephone,may,mon,70,1,0,nonexistent,0,-1.350889832,0.681002948
39,management,married,university.degree,yes,no,telephone,may,mon,193,1,0,nonexistent,0,-1.350889832,0.681002948
53,blue-collar,married,basic.4y,yes,no,telephone,may,mon,136,1,0,nonexistent,0,-1.350889832,0.681002948
38,admin.,divorced,high.school,yes,no,telephone,may,mon,73,1,0,nonexistent,0,-1.350889832,0.681002948
42,blue-collar,married,basic.4y,yes,no,telephone,may,mon,528,1,0,nonexistent,0,-1.350889832,0.681002948
42,blue-collar,married,basic.4y,no,no,telephone,may,mon,541,1,0,nonexistent,0,-1.350889832,0.681002948
35,admin.,single,high.school,yes,no,telephone,may,mon,338,1,0,nonexistent,0,-1.350889832,0.681002948
40,admin.,married,university.degree,yes,no,telephone,may,mon,163,1,0,nonexistent,0,-1.350889832,0.681002948
51,blue-collar,married,basic.4y,yes,no,telephone,may,mon,87,1,0,nonexistent,0,-1.350889832,0.681002948
60,blue-collar,married,basic.9y,no,no,telephone,may,mon,301,1,0,nonexistent,0,-1.350889832,0.681002948
56,entrepreneur,married,university.degree,yes,no,telephone,may,mon,46,1,0,nonexistent,0,-1.350889832,0.681002948
39,services,divorced,high.school,yes,no,telephone,may,mon,52,1,0,nonexistent,0,-1.350889832,0.681002948
56,entrepreneur,married,university.degree,no,no,telephone,may,mon,204,1,0,nonexistent,0,-1.350889832,0.681002948
40,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,155,1,0,nonexistent,0,-1.350889832,0.681002948
36,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,98,1,0,nonexistent,0,-1.350889832,0.681002948
51,blue-collar,married,basic.9y,yes,no,telephone,may,mon,71,1,0,nonexistent,0,-1.350889832,0.681002948
51,blue-collar,married,basic.9y,no,no,telephone,may,mon,243,1,0,nonexistent,0,-1.350889832,0.681002948
43,technician,single,professional.course,yes,no,telephone,may,mon,186,2,0,nonexistent,0,-1.350889832,0.681002948
59,services,married,high.school,no,no,telephone,may,mon,579,2,0,nonexistent,0,-1.350889832,0.681002948
24,management,single,university.degree,yes,no,telephone,may,mon,165,2,0,nonexistent,0,-1.350889832,0.681002948
37,blue-collar,single,basic.9y,yes,yes,telephone,may,mon,163,2,0,nonexistent,0,-1.350889832,0.681002948
40,blue-collar,married,basic.9y,no,no,telephone,may,mon,46,1,0,nonexistent,0,-1.350889832,0.681002948
42,blue-collar,married,basic.9y,no,no,telephone,may,mon,559,3,0,nonexistent,0,-1.350889832,0.681002948
37,entrepreneur,married,basic.6y,no,no,telephone,may,mon,85,1,0,nonexistent,0,-1.350889832,0.681002948
38,services,married,high.school,yes,yes,telephone,may,mon,506,1,0,nonexistent,0,-1.350889832,0.681002948
56,admin.,divorced,university.degree,no,no,telephone,may,mon,114,2,0,nonexistent,0,-1.350889832,0.681002948
40,blue-collar,married,basic.9y,no,no,telephone,may,mon,114,2,0,nonexistent,0,-1.350889832,0.681002948
43,blue-collar,married,high.school,no,yes,telephone,may,mon,181,1,0,nonexistent,0,-1.350889832,0.681002948
36,services,married,high.school,no,no,telephone,may,mon,427,1,0,nonexistent,0,-1.350889832,0.681002948
45,technician,married,university.degree,yes,yes,telephone,may,mon,292,1,0,nonexistent,0,-1.350889832,0.681002948
42,admin.,single,university.degree,no,no,telephone,may,mon,192,1,0,nonexistent,0,-1.350889832,0.681002948
43,services,married,high.school,no,no,telephone,may,mon,93,3,0,nonexistent,0,-1.350889832,0.681002948
46,management,married,basic.9y,no,no,telephone,may,mon,128,2,0,nonexistent,0,-1.350889832,0.681002948
44,services,married,high.school,yes,yes,telephone,may,mon,107,1,0,nonexistent,0,-1.350889832,0.681002948
51,admin.,single,basic.6y,no,no,telephone,may,mon,303,2,0,nonexistent,0,-1.350889832,0.681002948
28,services,married,high.school,yes,no,telephone,may,mon,81,1,0,nonexistent,0,-1.350889832,0.681002948
37,blue-collar,married,basic.9y,no,no,telephone,may,mon,270,1,0,nonexistent,0,-1.350889832,0.681002948
34,technician,married,high.school,no,no,telephone,may,mon,228,1,0,nonexistent,0,-1.350889832,0.681002948
46,blue-collar,married,basic.6y,yes,no,telephone,may,mon,240,1,0,nonexistent,0,-1.350889832,0.681002948
42,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,673,2,0,nonexistent,1,-1.350889832,0.681002948
36,admin.,married,university.degree,yes,no,telephone,may,mon,233,3,0,nonexistent,0,-1.350889832,0.681002948
54,blue-collar,married,basic.4y,no,no,telephone,may,mon,102,1,0,nonexistent,0,-1.350889832,0.681002948
57,management,married,university.degree,no,no,telephone,may,mon,461,1,0,nonexistent,0,-1.350889832,0.681002948
51,technician,married,basic.6y,no,no,telephone,may,mon,250,1,0,nonexistent,0,-1.350889832,0.681002948
54,retired,married,high.school,no,no,telephone,may,mon,130,1,0,nonexistent,0,-1.350889832,0.681002948
49,blue-collar,married,basic.4y,no,no,telephone,may,mon,252,1,0,nonexistent,0,-1.350889832,0.681002948
34,admin.,married,university.degree,yes,no,telephone,may,mon,138,1,0,nonexistent,0,-1.350889832,0.681002948
41,technician,married,professional.course,no,no,telephone,may,mon,412,1,0,nonexistent,0,-1.350889832,0.681002948
38,blue-collar,single,basic.9y,yes,no,telephone,may,mon,179,2,0,nonexistent,0,-1.350889832,0.681002948
45,management,divorced,university.degree,no,no,telephone,may,mon,19,2,0,nonexistent,0,-1.350889832,0.681002948
42,technician,married,university.degree,no,no,telephone,may,mon,228,2,0,nonexistent,0,-1.350889832,0.681002948
34,blue-collar,single,basic.9y,yes,no,telephone,may,mon,55,1,0,nonexistent,0,-1.350889832,0.681002948
48,blue-collar,married,basic.4y,yes,no,telephone,may,mon,717,1,0,nonexistent,0,-1.350889832,0.681002948
37,admin.,married,high.school,yes,no,telephone,may,mon,313,1,0,nonexistent,0,-1.350889832,0.681002948
34,blue-collar,single,basic.9y,no,no,telephone,may,mon,289,1,0,nonexistent,0,-1.350889832,0.681002948
40,admin.,married,basic.9y,yes,no,telephone,may,mon,683,2,0,nonexistent,0,-1.350889832,0.681002948
33,services,married,high.school,no,no,telephone,may,mon,146,2,0,nonexistent,0,-1.350889832,0.681002948
32,services,single,basic.6y,no,no,telephone,may,mon,167,1,0,nonexistent,0,-1.350889832,0.681002948
39,blue-collar,married,high.school,yes,no,telephone,may,mon,356,2,0,nonexistent,0,-1.350889832,0.681002948
43,admin.,married,university.degree,no,no,telephone,may,mon,277,1,0,nonexistent,0,-1.350889832,0.681002948
44,blue-collar,married,basic.9y,yes,no,telephone,may,mon,172,1,0,nonexistent,0,-1.350889832,0.681002948
35,student,single,university.degree,no,no,telephone,may,mon,218,1,0,nonexistent,0,-1.350889832,0.681002948
35,student,single,university.degree,yes,yes,telephone,may,mon,217,1,0,nonexistent,0,-1.350889832,0.681002948
35,unemployed,married,professional.course,no,no,telephone,may,mon,67,1,0,nonexistent,0,-1.350889832,0.681002948
36,services,single,basic.4y,no,no,telephone,may,mon,291,1,0,nonexistent,0,-1.350889832,0.681002948
35,student,single,university.degree,yes,no,telephone,may,mon,248,1,0,nonexistent,0,-1.350889832,0.681002948
36,student,single,basic.9y,yes,no,telephone,may,mon,256,1,0,nonexistent,0,-1.350889832,0.681002948
55,housemaid,divorced,university.degree,no,no,telephone,may,mon,286,1,0,nonexistent,0,-1.350889832,0.681002948
59,admin.,married,university.degree,no,no,telephone,may,mon,477,1,0,nonexistent,0,-1.350889832,0.681002948
57,retired,married,basic.4y,no,no,telephone,may,mon,611,2,0,nonexistent,0,-1.350889832,0.681002948
39,blue-collar,married,professional.course,yes,no,telephone,may,mon,471,1,0,nonexistent,0,-1.350889832,0.681002948
39,housemaid,married,basic.4y,yes,no,telephone,may,mon,381,2,0,nonexistent,0,-1.350889832,0.681002948
30,blue-collar,single,basic.9y,yes,no,telephone,may,mon,251,1,0,nonexistent,0,-1.350889832,0.681002948
30,blue-collar,single,basic.9y,yes,yes,telephone,may,mon,408,1,0,nonexistent,0,-1.350889832,0.681002948
50,housemaid,married,basic.4y,no,no,telephone,may,mon,287,1,0,nonexistent,0,-1.350889832,0.681002948
40,services,married,high.school,no,no,telephone,may,mon,322,3,0,nonexistent,0,-1.350889832,0.681002948
35,admin.,married,high.school,yes,no,telephone,may,mon,216,2,0,nonexistent,0,-1.350889832,0.681002948
43,technician,married,professional.course,no,no,telephone,may,mon,366,2,0,nonexistent,0,-1.350889832,0.681002948
36,services,single,basic.6y,yes,no,telephone,may,mon,210,1,0,nonexistent,0,-1.350889832,0.681002948
46,technician,married,basic.4y,yes,no,telephone,may,mon,288,1,0,nonexistent,0,-1.350889832,0.681002948
40,technician,married,basic.9y,no,no,telephone,may,mon,168,1,0,nonexistent,0,-1.350889832,0.681002948
58,retired,married,university.degree,no,no,telephone,may,mon,132,1,0,nonexistent,0,-1.350889832,0.681002948
42,technician,married,university.degree,no,no,telephone,may,mon,64,2,0,nonexistent,0,-1.350889832,0.681002948
35,admin.,single,university.degree,no,no,telephone,may,mon,209,2,0,nonexistent,0,-1.350889832,0.681002948
43,retired,married,basic.4y,no,no,telephone,may,mon,410,3,0,nonexistent,0,-1.350889832,0.681002948
45,blue-collar,married,basic.4y,yes,yes,telephone,may,mon,177,1,0,nonexistent,0,-1.350889832,0.681002948
39,admin.,married,professional.course,yes,no,telephone,may,mon,580,2,0,nonexistent,0,-1.350889832,0.681002948
50,services,divorced,professional.course,yes,no,telephone,may,mon,165,1,0,nonexistent,0,-1.350889832,0.681002948
32,management,divorced,basic.4y,yes,no,telephone,may,mon,127,2,0,nonexistent,0,-1.350889832,0.681002948
39,admin.,married,high.school,no,no,telephone,may,mon,357,1,0,nonexistent,0,-1.350889832,0.681002948
52,self-employed,married,university.degree,no,no,telephone,may,mon,175,1,0,nonexistent,0,-1.350889832,0.681002948
44,admin.,married,professional.course,yes,no,telephone,may,mon,300,1,0,nonexistent,0,-1.350889832,0.681002948
56,blue-collar,married,basic.4y,no,no,telephone,may,mon,136,1,0,nonexistent,0,-1.350889832,0.681002948
48,admin.,married,high.school,no,no,telephone,may,mon,125,2,0,nonexistent,0,-1.350889832,0.681002948
33,services,married,high.school,no,yes,telephone,may,mon,189,2,0,nonexistent,0,-1.350889832,0.681002948
43,management,married,university.degree,no,yes,telephone,may,mon,213,3,0,nonexistent,0,-1.350889832,0.681002948
57,retired,married,high.school,no,no,telephone,may,mon,238,2,0,nonexistent,0,-1.350889832,0.681002948
36,technician,single,professional.course,no,no,telephone,may,mon,124,1,0,nonexistent,0,-1.350889832,0.681002948
34,management,married,university.degree,yes,no,telephone,may,mon,18,1,0,nonexistent,0,-1.350889832,0.681002948
34,services,single,basic.9y,no,no,telephone,may,mon,730,2,0,nonexistent,0,-1.350889832,0.681002948
30,technician,married,university.degree,no,no,telephone,may,mon,40,1,0,nonexistent,0,-1.350889832,0.681002948
33,services,divorced,high.school,no,no,telephone,may,mon,181,2,0,nonexistent,0,-1.350889832,0.681002948
32,technician,single,professional.course,no,no,telephone,may,mon,79,1,0,nonexistent,0,-1.350889832,0.681002948
36,technician,single,high.school,yes,no,telephone,may,mon,142,2,0,nonexistent,0,-1.350889832,0.681002948
36,blue-collar,single,high.school,no,yes,telephone,may,mon,389,1,0,nonexistent,0,-1.350889832,0.681002948
33,services,single,high.school,no,no,telephone,may,mon,702,1,0,nonexistent,0,-1.350889832,0.681002948
40,technician,divorced,professional.course,no,no,telephone,may,mon,151,1,0,nonexistent,0,-1.350889832,0.681002948
41,blue-collar,married,basic.4y,yes,no,telephone,may,mon,211,1,0,nonexistent,0,-1.350889832,0.681002948
51,services,married,basic.6y,yes,no,telephone,may,mon,117,1,0,nonexistent,0,-1.350889832,0.681002948
36,technician,married,professional.course,yes,no,telephone,may,mon,232,3,0,nonexistent,0,-1.350889832,0.681002948
28,services,married,high.school,no,no,telephone,may,mon,408,2,0,nonexistent,0,-1.350889832,0.681002948
53,services,married,high.school,yes,yes,telephone,may,mon,370,3,0,nonexistent,0,-1.350889832,0.681002948
58,blue-collar,married,basic.9y,yes,no,telephone,may,mon,179,2,0,nonexistent,0,-1.350889832,0.681002948
45,management,married,basic.9y,no,yes,telephone,may,mon,46,1,0,nonexistent,0,-1.350889832,0.681002948
43,technician,married,professional.course,yes,no,telephone,may,mon,200,1,0,nonexistent,0,-1.350889832,0.681002948
33,admin.,married,high.school,no,yes,telephone,may,mon,50,1,0,nonexistent,0,-1.350889832,0.681002948
33,admin.,married,high.school,no,yes,telephone,may,mon,181,1,0,nonexistent,0,-1.350889832,0.681002948
27,blue-collar,single,basic.6y,yes,no,telephone,may,mon,119,1,0,nonexistent,0,-1.350889832,0.681002948
42,technician,married,high.school,no,no,telephone,may,mon,361,1,0,nonexistent,0,-1.350889832,0.681002948
43,admin.,divorced,basic.9y,no,no,telephone,may,mon,73,3,0,nonexistent,0,-1.350889832,0.681002948
42,admin.,married,university.degree,no,no,telephone,may,mon,67,2,0,nonexistent,0,-1.350889832,0.681002948
27,blue-collar,single,basic.6y,no,no,telephone,may,mon,350,1,0,nonexistent,0,-1.350889832,0.681002948
34,self-employed,single,university.degree,yes,no,telephone,may,mon,150,2,0,nonexistent,0,-1.350889832,0.681002948
31,student,single,university.degree,no,no,telephone,may,mon,332,2,0,nonexistent,0,-1.350889832,0.681002948
54,management,divorced,university.degree,no,no,telephone,may,mon,611,2,0,nonexistent,0,-1.350889832,0.681002948
40,self-employed,married,basic.4y,no,no,telephone,may,mon,58,3,0,nonexistent,0,-1.350889832,0.681002948
52,unemployed,married,high.school,yes,no,telephone,may,mon,151,1,0,nonexistent,0,-1.350889832,0.681002948
